svk_source	term_id	term	meeting	date	time	type	mp_id	moderator	fullname	firstname	lastname	title	party	party_short	dob	gender	nationality	residence	district	email	personal_web	mp_web	difterm	transcript_link	speech	lem	agenda
SK_term_4.tsv-line2	1	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ešte raz poprosím pánov poslancov, panie poslankyne, keby zaujali svoje miesta. (Ruch v sále.) Ďakujem pekne. Panie poslankyne, páni poslanci, prichádza pán prezident Slovenskej republiky. (Príchod prezidenta Slovenskej republiky Ivana Gašparoviča do rokovacej sály za zvukov prezidentských fanfár.) (Štátna hymna Slovenskej republiky.)	ešte raz poprosiť pán poslanec, panie poslankyňa, keby zaujať svoj miesto.  (ruch v sála. ) ďakovať pekne. panie poslankyňa, pán poslanec, prichádzať pán prezident slovenský republika.  (príchod prezident slovenský republika ivana gašparovič do rokovaci sála za zvuk prezidentský fanfár.)  (štátny hymna slovenský republika.)	-
SK_term_4.tsv-line3	3	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ústavou predpísaný sľub poslanca znie: „Sľubujem na svoju česť a svedomie vernosť Slovenskej republike. Svoje povinnosti budem plniť v záujme jej občanov. Budem dodržiavať ústavu a ostatné zákony a pracovať tak, aby sa uvádzali do života.“ (Slávnostný akt skladania sľubu poslancov.)	ústava predpísaný sľub poslanec znieť: „ sľubovať na svoj česť a svedomie vernosť slovenský republika. svoj povinnosť byť plniť v záujem jej občan. byť dodržiavať ústav a ostatný zákon a pracovať tak, aby sa uvádzať do život.“  (slávnostný akt skladanie sľub poslanec.)	-
SK_term_4.tsv-line4	4	4	1	20060704			23	0	Bugár, Béla	Béla	Bugár	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19580707	0	maďarská	Šamorín	Trnavský	bela_bugar@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=23&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line5	5	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line6	6	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	László Szigeti.	lászló sziget.	-
SK_term_4.tsv-line7	7	4	1	20060704			197	0	Szigeti, László	László	Szigeti	NA	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19570803	0	maďarská	Štúrovo	Nitriansky	laszlo_szigeti@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=197&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line8	8	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Martin Pado.	martin pado.	-
SK_term_4.tsv-line9	9	4	1	20060704			680	0	Pado, Martin	Martin	Pado	Ing.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19590516	0	slovenská	Michalovce	Košický	martin_pado@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=680&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line10	10	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Martin Fedor.	martin fedor.	-
SK_term_4.tsv-line11	11	4	1	20060704			653	0	Fedor, Martin	Martin	Fedor	Mgr., MEconSc.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19740304	0	slovenská	Trenčianske Teplice	Trenčiansky	martin_fedor@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=653&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
